countrycode,year,gdp_mill_USD_PPP
DEU,1970,314133.148
DEU,1971,340396.784
DEU,1972,370382.281
DEU,1973,409343.423
DEU,1974,450150.296
DEU,1975,487582.935
DEU,1976,539876.317
DEU,1977,592614.471
DEU,1978,653380.757
DEU,1979,736956.392
DEU,1980,814846.532
DEU,1981,896669.049
DEU,1982,948308.498
DEU,1983,1000947.058
DEU,1984,1066333.89
DEU,1985,1125664.738
DEU,1986,1174600.81
DEU,1987,1220523.414
DEU,1988,1310420.173
DEU,1989,1414856.174
DEU,1990,1544952.872
DEU,1991,1678788.61
DEU,1992,1750066.849
DEU,1993,1774048.621
DEU,1994,1855271.542
DEU,1995,1923423.552
DEU,1996,1971699.808
DEU,1997,2015441.926
DEU,1998,2079477.388
DEU,1999,2158515.841
DEU,2000,2236357.417
DEU,2001,2336836.946
DEU,2002,2406900.908
DEU,2003,2468580.998
DEU,2004,2585625.033
DEU,2005,2622039.802
DEU,2006,2813989.196
DEU,2007,2985917.577
DEU,2008,3103958.247
DEU,2009,3015212.783
DEU,2010,3184879.755
DEU,2011,3415019.966
DEU,2012,3487234.448
DEU,2013,3628559.337
DEU,2014,3807114.521
DEU,2015,3889081.896
DEU,2016,4165169.905
DEU,2017,4386729.188
DEU,2018,4576056.532
DEU,2019,4840311.774
ITA,1970,195356.975
ITA,1971,208991.787
ITA,1972,226072.186
ITA,1973,255453.063
ITA,1974,293755.132
ITA,1975,314255.852
ITA,1976,355174.817
ITA,1977,386902.453
ITA,1978,427534.457
ITA,1979,490596.301
ITA,1980,553259.823
ITA,1981,610722.798
ITA,1982,651136.792
ITA,1983,684551.744
ITA,1984,732127.658
ITA,1985,776414.193
ITA,1986,814702.827
ITA,1987,861496.933
ITA,1988,929294.596
ITA,1989,998448.684
ITA,1990,1056393.054
ITA,1991,1108919.404
ITA,1992,1143652.966
ITA,1993,1160777.093
ITA,1994,1211066.379
ITA,1995,1272155.857
ITA,1996,1310681.246
ITA,1997,1358054.328
ITA,1998,1423858.253
ITA,1999,1457193.11
ITA,2000,1541756.518
ITA,2001,1597668.505
ITA,2002,1639680.501
ITA,2003,1673462.415
ITA,2004,1704921.305
ITA,2005,1746658.11
ITA,2006,1886969.75
ITA,2007,1995607.596
ITA,2008,2089717.307
ITA,2009,2044812.137
ITA,2010,2083742.436
ITA,2011,2173169.961
ITA,2012,2172383.108
ITA,2013,2187376.607
ITA,2014,2200256.409
ITA,2015,2240922.483
ITA,2016,2420672.141
ITA,2017,2517184.468
ITA,2018,2600326.872
ITA,2019,2775612.585
FRA,1970,191729.21
FRA,1971,212158.961
FRA,1972,231315.077
FRA,1973,259470.787
FRA,1974,294983.622
FRA,1975,319213.018
FRA,1976,351453.264
FRA,1977,386222.295
FRA,1978,429835.357
FRA,1979,482021.988
FRA,1980,533860.718
FRA,1981,590622.469
FRA,1982,642824.369
FRA,1983,676291.436
FRA,1984,711296.538
FRA,1985,745698.726
FRA,1986,778496.404
FRA,1987,818184.63
FRA,1988,887222.023
FRA,1989,962054.791
FRA,1990,1027250.529
FRA,1991,1073121.205
FRA,1992,1115130.703
FRA,1993,1134386.442
FRA,1994,1185935.18
FRA,1995,1236310.187
FRA,1996,1275806.005
FRA,1997,1333595.864
FRA,1998,1405908.123
FRA,1999,1470523.886
FRA,2000,1589447.426
FRA,2001,1687216.739
FRA,2002,1762925.935
FRA,2003,1753702.144
FRA,2004,1822285.114
FRA,2005,1926880.385
FRA,2006,2065681.305
FRA,2007,2184814.783
FRA,2008,2259255.844
FRA,2009,2243848.785
FRA,2010,2334273.268
FRA,2011,2446474.544
FRA,2012,2474005.287
FRA,2013,2608523.504
FRA,2014,2662032.873
FRA,2015,2718495.127
FRA,2016,2864105.631
FRA,2017,2983010.673
FRA,2018,3125379.86
FRA,2019,3452964.228
GBR,1970,201871.374
GBR,1971,219538.225
GBR,1972,238926.17
GBR,1973,268460.39
GBR,1974,285348.485
GBR,1975,307184.685
GBR,1976,333522.116
GBR,1977,362951.555
GBR,1978,404813.696
GBR,1979,454834.96
GBR,1980,485846.576
GBR,1981,527628.719
GBR,1982,571402.954
GBR,1983,618852.278
GBR,1984,655727.661
GBR,1985,704520.496
GBR,1986,741350.623
GBR,1987,800650.508
GBR,1988,876408.388
GBR,1989,934242.602
GBR,1990,976326.049
GBR,1991,998208.768
GBR,1992,1025051.94
GBR,1993,1075476.17
GBR,1994,1140688.343
GBR,1995,1194091.437
GBR,1996,1276091.612
GBR,1997,1345090.985
GBR,1998,1385424.795
GBR,1999,1437339.336
GBR,2000,1562408.657
GBR,2001,1650356.893
GBR,2002,1727032.129
GBR,2003,1808368.02
GBR,2004,1922941.361
GBR,2005,1976697.868
GBR,2006,2113504.388
GBR,2007,2178375.498
GBR,2008,2271084.657
GBR,2009,2181121.129
GBR,2010,2290196.899
GBR,2011,2354769.787
GBR,2012,2442463.44
GBR,2013,2562195.165
GBR,2014,2666663.773
GBR,2015,2767234.195
GBR,2016,2892299.174
GBR,2017,3041891.843
GBR,2018,3129647.768
GBR,2019,3335878.327
USA,1970,1073303
USA,1971,1164850
USA,1972,1279110
USA,1973,1425376
USA,1974,1545243
USA,1975,1684904
USA,1976,1873412
USA,1977,2081826
USA,1978,2351599
USA,1979,2627333
USA,1980,2857307
USA,1981,3207041
USA,1982,3343789
USA,1983,3634038
USA,1984,4037613
USA,1985,4338979
USA,1986,4579631
USA,1987,4855215
USA,1988,5236438
USA,1989,5641580
USA,1990,5963144
USA,1991,6158129
USA,1992,6520327
USA,1993,6858559
USA,1994,7287236
USA,1995,7639749
USA,1996,8073122
USA,1997,8577552
USA,1998,9062817
USA,1999,9631172
USA,2000,10250952
USA,2001,10581929
USA,2002,10929108
USA,2003,11456450
USA,2004,12217196
USA,2005,13039197
USA,2006,13815583
USA,2007,14474228
USA,2008,14769862
USA,2009,14478067
USA,2010,15048971
USA,2011,15599732
USA,2012,16253970
USA,2013,16880683
USA,2014,17608138
USA,2015,18295019
USA,2016,18804913
USA,2017,19612102
USA,2018,20656516
USA,2019,21521395